Policy_ID,DOB,AGE,INCOME,PARENT1,HOME_VALUE,MARRIED,GENDER,EDUCATION,OCCUPATION,TRAVEL_TIME,CAR_USAGE,IDV,CAR_TYPE,RED_CAR,OLD_CLAIM,CLAIM_FREQ,MVR_POINTS,CLAIM_AMOUNT,CAR_AGE,CLAIM_STATUS,URBANICITY
63581743,16-Mar-39,60,$67349,No,$0,z_No,M,PhD,Professional,14,Private,$14230,Minivan,yes,$4461,2,3,$0,18,0,Highly Urban; Urban
132761049,21-Jan-56,43,$91449,No,$257252,z_No,M,z_High School,z_Blue Collar,22,Commercial,$14940,Minivan,yes,$0,0,0,$0,1,0,Highly Urban; Urban
921317019,18-Nov-51,48,$52881,No,$0,z_No,M,Bachelors,Manager,26,Private,$21970,Van,yes,$0,0,2,$0,10,0,Highly Urban; Urban
727598473,05-Mar-64,35,$16039,No,$124191,Yes,z_F,z_High School,Clerical,5,Private,$4010,z_SUV,no,$38690,2,3,$0,10,0,Highly Urban; Urban
450221861,05-Jun-48,51,,No,$306251,Yes,M,<High School,z_Blue Collar,32,Private,$15440,Minivan,yes,$0,0,0,$0,6,0,Highly Urban; Urban
743146596,17-May-49,50,$114986,No,$243925,Yes,z_F,PhD,Doctor,36,Private,$18000,z_SUV,no,$19217,2,3,$0,17,0,Highly Urban; Urban
871024631,05-May-65,34,$125301,Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,$17430,Sports Car,no,$0,0,0,$2946,7,1,Highly Urban; Urban
792300541,28-Feb-45,54,$18755,No,,Yes,z_F,<High School,z_Blue Collar,33,Private,$8780,z_SUV,no,$0,0,0,$0,1,0,Highly Urban; Urban
7945239,17-Sep-59,40,$50815,Yes,$0,z_No,M,z_High School,Manager,21,Private,$18930,Minivan,no,$3295,1,2,$6477,1,1,Highly Urban; Urban
3577610,21-Aug-55,44,$43486,Yes,$0,z_No,z_F,z_High School,z_Blue Collar,30,Commercial,$5900,z_SUV,no,$0,0,0,$0,10,0,z_Highly Rural; Rural
892208080,14-Dec-61,37,$107961,No,$333680,Yes,M,Bachelors,z_Blue Collar,44,Commercial,$16970,Van,yes,$2374,1,10,$4021,7,1,Highly Urban; Urban
77382913,22-Nov-64,34,$62978,No,$0,z_No,z_F,Bachelors,Clerical,34,Private,$11200,z_SUV,no,$0,0,0,$2501,1,1,Highly Urban; Urban
856886560,22-Oct-49,50,$106952,No,$0,z_No,M,Bachelors,Professional,48,Commercial,$18510,Van,no,$0,0,1,$0,17,0,z_Highly Rural; Rural
308455362,25-Dec-45,53,$77100,No,$0,z_No,z_F,Masters,Lawyer,15,Private,$18300,Sports Car,no,$0,0,0,$6077,11,1,Highly Urban; Urban
989828809,19-Jun-56,43,$52642,No,$209970,Yes,z_F,Masters,Professional,36,Private,$22420,Minivan,no,$0,0,0,$0,1,0,z_Highly Rural; Rural
376482434,03-Mar-44,55,$59162,No,$180232,Yes,M,Bachelors,Manager,25,Commercial,$17600,Van,yes,$5028,2,3,$0,9,0,Highly Urban; Urban
665591504,19-Jul-46,53,$130795,No,$0,z_No,M,PhD,,64,Commercial,$28340,Panel Truck,yes,$0,0,3,$1267,10,1,Highly Urban; Urban
713692930,17-Aug-64,35,$21204,Yes,$0,z_No,M,z_High School,Clerical,74,Private,$9230,Pickup,no,$0,0,0,$0,4,0,z_Highly Rural; Rural
588888550,17-Jan-54,45,$0,No,$106859,Yes,z_F,<High School,Home Maker,48,Private,$6000,z_SUV,no,$0,0,3,$2920,5,1,Highly Urban; Urban
140015922,06-Aug-60,39,$51884,Yes,$180951,z_No,z_F,Bachelors,Clerical,43,Private,$10590,z_SUV,no,$0,0,0,$0,13,0,z_Highly Rural; Rural
162166370,19-Apr-40,59,$87460,No,$0,z_No,M,z_High School,Manager,45,Private,$15420,Minivan,yes,$44857,2,4,$4111,1,1,Highly Urban; Urban
884513944,20-Dec-56,42,$59945,No,$192207,Yes,M,Masters,Lawyer,42,Private,$14190,Minivan,no,$0,0,0,$0,16,0,Highly Urban; Urban
627708979,14-Sep-65,34,$34019,No,$91875,Yes,z_F,Masters,Lawyer,27,Private,$8300,z_SUV,no,$0,0,0,$0,20,0,Highly Urban; Urban
116375554,06-Oct-68,31,$18903,No,$93797,Yes,z_F,<High School,Clerical,48,Private,$17330,Minivan,no,$0,0,0,$0,7,0,Highly Urban; Urban
235358484,22-Feb-71,28,$44077,No,$170598,Yes,z_F,z_High School,z_Blue Collar,29,Commercial,$8710,z_SUV,no,$8935,2,0,$6857,1,1,Highly Urban; Urban
528040687,07-Feb-56,43,$37214,No,,Yes,M,<High School,z_Blue Collar,52,Commercial,$26560,Panel Truck,yes,$0,0,3,$3627,1,1,Highly Urban; Urban
652572577,16-Dec-50,48,$96274,No,$282904,Yes,z_F,Masters,Lawyer,36,Private,$11130,z_SUV,no,$8250,1,5,$0,14,0,Highly Urban; Urban
410873772,24-Jul-52,47,$46281,No,$0,z_No,z_F,<High School,z_Blue Collar,29,Private,$19700,Minivan,no,$0,0,1,$0,5,0,Highly Urban; Urban
254362485,06-Jul-55,44,$0,No,$82344,Yes,z_F,z_High School,Home Maker,8,Private,$5900,z_SUV,no,$3338,3,0,$0,11,0,Highly Urban; Urban
69165559,14-Apr-53,46,,No,$207519,Yes,M,Bachelors,Professional,7,Commercial,$25660,Panel Truck,no,$2119,1,2,$0,12,0,Highly Urban; Urban
201327208,14-Dec-38,60,$37940,No,$182739,Yes,z_F,z_High School,z_Blue Collar,16,Commercial,$11290,Sports Car,no,$0,0,0,$5247,1,1,Highly Urban; Urban
573751437,14-Dec-65,33,$79606,No,$225962,Yes,z_F,Bachelors,Professional,27,Private,$16830,z_SUV,no,$0,0,2,$0,15,0,z_Highly Rural; Rural
483050926,17-Apr-67,32,$31275,No,$118160,Yes,z_F,z_High School,Clerical,26,Private,$10030,z_SUV,no,$0,0,0,$4486,1,1,Highly Urban; Urban
146989842,09-Apr-55,44,$45488,No,$219378,Yes,M,Bachelors,Manager,16,Private,$22090,Minivan,no,$0,0,0,$0,12,0,Highly Urban; Urban
742435591,05-Apr-64,35,$72193,No,$0,z_No,z_F,Bachelors,Clerical,26,Private,$12220,z_SUV,no,$0,0,3,$0,12,0,Highly Urban; Urban
915517588,06-May-59,40,,No,$98777,Yes,z_F,Masters,Home Maker,15,Private,$14130,z_SUV,no,$38127,2,4,$0,12,0,z_Highly Rural; Rural
756785495,15-May-45,54,$33212,No,$158432,Yes,M,<High School,z_Blue Collar,27,Commercial,$24000,Panel Truck,no,$0,0,5,$4901,,1,Highly Urban; Urban
66662029,14-Feb-50,49,$49244,No,$163444,Yes,M,Bachelors,Clerical,30,Private,$15880,Minivan,no,$0,0,1,$0,1,0,Highly Urban; Urban
294816298,03-Aug-63,36,$130540,Yes,$344195,z_No,z_F,Bachelors,z_Blue Collar,5,Commercial,$27200,Minivan,no,$0,0,0,$0,9,0,z_Highly Rural; Rural
686791659,07-May-47,52,$51278,No,$230340,Yes,z_F,Bachelors,Professional,37,Private,$1500,z_SUV,no,$0,0,1,$0,10,0,Highly Urban; Urban
269341556,28-Sep-58,41,$92842,No,$286113,z_No,M,Masters,,12,Commercial,$25810,Panel Truck,no,$1431,2,5,$0,15,0,Highly Urban; Urban
396972296,26-Jul-60,39,$35081,No,$202839,Yes,M,Bachelors,z_Blue Collar,38,Commercial,$16640,Van,yes,$0,0,0,$0,13,0,Highly Urban; Urban
364483168,09-Apr-43,56,$0,No,$63827,Yes,z_F,PhD,Home Maker,65,Private,$13220,Minivan,no,$0,0,0,$0,12,0,z_Highly Rural; Rural
866093378,07-Mar-50,49,$115044,No,$311980,z_No,z_F,PhD,Doctor,18,Private,$17900,Minivan,no,$0,0,0,$0,14,0,Highly Urban; Urban
515421877,30-May-61,38,$37754,No,$138823,Yes,z_F,z_High School,Clerical,47,Private,$12080,z_SUV,no,$0,0,2,$0,9,0,z_Highly Rural; Rural
173737852,01-Jun-56,43,$145353,No,$418785,Yes,z_F,Masters,,38,Commercial,$29450,Van,no,$0,0,0,$0,15,0,Highly Urban; Urban
745183922,30-Jun-49,50,$167469,No,$0,z_No,z_F,PhD,Doctor,22,Private,$34150,Sports Car,no,$0,0,3,$0,1,0,Highly Urban; Urban
298271736,04-Nov-36,63,$121398,No,$343410,Yes,z_F,PhD,Doctor,10,Private,$16270,z_SUV,no,$0,0,0,$0,11,0,Highly Urban; Urban
70821537,12-Aug-47,52,$0,No,$87925,z_No,z_F,z_High School,Student,48,Commercial,$9280,z_SUV,no,$0,0,1,$0,6,0,z_Highly Rural; Rural
258951025,24-Oct-64,35,$14508,No,$0,Yes,M,Bachelors,Student,22,Commercial,$6450,Pickup,no,$0,0,0,$0,7,0,Highly Urban; Urban
807174588,16-Nov-56,43,$75338,No,$270555,Yes,z_F,Bachelors,Manager,40,Private,$23080,Sports Car,no,$0,0,0,$0,8,0,Highly Urban; Urban
514538041,06-Oct-58,41,$32774,No,$0,z_No,z_F,z_High School,Clerical,44,Private,$20120,Minivan,no,$0,0,0,$0,1,0,z_Highly Rural; Rural
25561360,08-Apr-59,40,$57474,No,$186418,Yes,M,Bachelors,Clerical,5,Commercial,$29270,Panel Truck,yes,$0,0,1,$0,5,0,Highly Urban; Urban
753037176,07-Aug-68,31,$26520,No,$154493,Yes,M,Bachelors,Student,62,Commercial,$4600,Minivan,yes,$0,0,2,$0,5,0,Highly Urban; Urban
883748009,27-Oct-52,47,$18444,No,$0,Yes,z_F,z_High School,Student,35,Commercial,$19450,z_SUV,no,$2981,2,5,$0,,0,Highly Urban; Urban
31827166,06-Jan-46,53,$107259,No,$343700,Yes,M,Masters,Professional,36,Private,$29230,Minivan,yes,$0,0,0,$0,15,0,Highly Urban; Urban
680782638,05-Jun-60,39,$34046,No,$183383,Yes,z_F,z_High School,Clerical,33,Private,$4040,z_SUV,no,$0,0,0,$0,5,0,z_Highly Rural; Rural
883604551,20-May-66,33,$32364,No,$152894,Yes,M,<High School,Clerical,40,Private,$12270,Minivan,yes,$0,0,3,$0,1,0,Highly Urban; Urban
714473703,02-Jan-40,59,$106775,No,,z_No,M,Masters,Lawyer,10,Private,$31930,Minivan,yes,$0,0,0,$0,,0,Highly Urban; Urban
213057541,29-Jan-57,42,$52988,No,$176275,Yes,M,z_High School,z_Blue Collar,24,Commercial,$23450,Minivan,no,$0,0,2,$0,11,0,z_Highly Rural; Rural
885280620,26-Apr-59,40,$16989,No,$0,z_No,M,<High School,z_Blue Collar,20,Commercial,$12230,Pickup,yes,$26104,1,13,$6100,6,1,Highly Urban; Urban
931739722,15-Jul-58,41,$17755,Yes,$148815,z_No,z_F,<High School,Clerical,29,Private,$14480,Minivan,yes,$0,0,2,$0,1,0,Highly Urban; Urban
939401184,20-Jan-62,37,,Yes,$0,z_No,z_F,z_High School,z_Blue Collar,62,Commercial,$9360,Sports Car,no,$0,0,0,$6195,,1,Highly Urban; Urban
840809480,29-Jun-63,36,$56048,No,$137836,Yes,M,Masters,Lawyer,15,Private,$10700,Minivan,no,$2045,2,2,$0,16,0,Highly Urban; Urban
800426023,02-Dec-54,44,$16352,No,$134164,Yes,z_F,z_High School,Home Maker,37,Private,$10520,z_SUV,no,$7838,1,1,$8841,1,1,Highly Urban; Urban
14827139,07-Feb-43,56,$44760,No,$164852,Yes,M,Bachelors,Manager,30,Private,$21770,Minivan,yes,$0,0,0,$0,6,0,Highly Urban; Urban
212687745,30-Dec-53,45,$63952,No,$196368,Yes,z_F,Masters,Lawyer,50,Private,$32340,Van,no,$27877,2,0,$2117,13,1,Highly Urban; Urban
224701093,16-Apr-65,34,$22510,No,$123888,Yes,M,z_High School,Clerical,26,Private,$14690,Minivan,yes,$0,0,0,$1230,1,1,z_Highly Rural; Rural
401200262,23-Sep-51,48,,No,$252896,Yes,M,Bachelors,Professional,14,Commercial,$28560,Panel Truck,yes,$1554,5,1,$0,10,0,Highly Urban; Urban
926073051,12-Oct-55,44,$24060,Yes,$0,z_No,M,Bachelors,Clerical,24,Private,$14220,Minivan,no,$0,0,0,$3532,10,1,Highly Urban; Urban
45830738,25-Jul-66,33,$20822,No,$76022,Yes,z_F,z_High School,Home Maker,46,Private,$6880,z_SUV,no,$7896,3,0,$866,1,1,Highly Urban; Urban
997497927,06-Dec-66,32,$54968,No,$146784,Yes,z_F,z_High School,Professional,20,Private,$10040,z_SUV,no,$0,0,0,$0,8,0,Highly Urban; Urban
862203239,20-Oct-65,34,$14194,No,$87034,z_No,z_F,<High School,Clerical,13,Private,$2920,Sports Car,no,$24767,3,2,$7786,10,1,Highly Urban; Urban
116102677,06-Nov-61,38,$2149,No,$72889,Yes,z_F,<High School,Home Maker,35,Private,$22690,Pickup,no,$0,0,2,$0,1,0,Highly Urban; Urban
635101571,18-Feb-64,35,,Yes,$0,z_No,z_F,<High School,z_Blue Collar,43,Private,$9730,z_SUV,no,$0,0,4,$5426,4,1,Highly Urban; Urban
793404097,02-Jan-55,44,$45576,No,$156623,Yes,z_F,<High School,z_Blue Collar,27,Private,$1500,Sports Car,no,$25276,1,8,$0,,0,Highly Urban; Urban
62434528,10-May-56,43,$137103,Yes,$0,z_No,z_F,Masters,Manager,29,Private,$19510,Sports Car,no,$8890,3,0,$4148,15,1,Highly Urban; Urban
935079846,05-Sep-50,49,,No,$0,z_No,M,PhD,,31,Commercial,$33710,Panel Truck,no,$34351,2,2,$0,18,0,Highly Urban; Urban
948288985,25-Oct-53,46,$79538,No,$0,z_No,z_F,Bachelors,Manager,13,Private,$14050,Minivan,no,$0,0,2,$0,11,0,Highly Urban; Urban
396323054,03-Dec-53,45,$185836,No,$509115,Yes,z_F,PhD,Lawyer,28,Private,$10250,z_SUV,no,$4307,3,6,$0,20,0,Highly Urban; Urban
299024508,01-Jan-53,46,,No,$397661,z_No,M,Masters,,22,Commercial,$33320,Panel Truck,yes,$0,0,1,$0,12,0,Highly Urban; Urban
39392545,08-Nov-54,45,$61931,No,$213530,Yes,M,Masters,,30,Commercial,$10910,Pickup,yes,$25106,2,0,$0,,0,Highly Urban; Urban
536604822,23-Jul-51,48,$61509,No,$195438,Yes,M,Masters,,40,Commercial,$23230,Panel Truck,yes,$0,0,1,$0,17,0,Highly Urban; Urban
429992959,16-Sep-36,63,$74426,No,$0,z_No,z_F,PhD,Doctor,11,Private,$27600,z_SUV,no,$0,0,0,$0,18,0,Highly Urban; Urban
160577728,18-Feb-55,44,$74722,No,$231034,Yes,z_F,Bachelors,Professional,9,Private,$23640,Minivan,no,$0,0,0,$0,1,0,Highly Urban; Urban
108385737,07-Mar-54,45,$102393,Yes,$0,z_No,M,Bachelors,Professional,25,Private,$1500,Minivan,yes,$0,0,2,$2371,11,1,Highly Urban; Urban
414142186,17-Sep-37,62,$40656,No,$208242,Yes,z_F,z_High School,Clerical,57,Private,$9170,Sports Car,no,$42342,2,2,$4178,7,1,Highly Urban; Urban
421217157,24-Nov-50,48,$0,No,$98920,Yes,z_F,z_High School,Home Maker,50,Private,$8660,Sports Car,no,$8363,2,3,$0,,0,Highly Urban; Urban
935010485,10-Feb-62,37,,No,$205211,Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,$5200,z_SUV,no,$2718,1,1,$4804,3,1,Highly Urban; Urban
537840281,27-Aug-64,35,$29371,No,$0,z_No,z_F,<High School,Clerical,49,Private,$4860,Sports Car,no,$0,0,0,$0,1,0,Highly Urban; Urban
748139140,13-Aug-51,48,$31773,No,$165090,Yes,M,z_High School,Clerical,14,Commercial,$9640,Pickup,no,$1212,1,4,$1354,1,1,Highly Urban; Urban
601118153,26-Dec-59,39,$33727,No,$0,z_No,z_F,Bachelors,Clerical,27,Private,$10850,z_SUV,no,$8350,1,2,$0,12,0,Highly Urban; Urban
808304017,30-May-50,49,$0,No,$159389,Yes,z_F,Masters,Professional,42,Private,$6400,z_SUV,no,$9115,1,6,$0,14,0,Highly Urban; Urban
803325269,24-Jul-55,44,$139330,Yes,$316900,z_No,z_F,z_High School,z_Blue Collar,35,Commercial,$22050,Sports Car,no,$0,0,0,$0,1,0,z_Highly Rural; Rural
701235200,22-Dec-48,50,$163296,No,$447616,z_No,z_F,PhD,Lawyer,42,Private,$22830,Minivan,no,$0,0,0,$0,14,0,z_Highly Rural; Rural
916609661,03-Oct-69,30,$17455,Yes,$140978,z_No,z_F,<High School,z_Blue Collar,50,Private,$12380,Minivan,no,$0,0,0,$0,6,0,z_Highly Rural; Rural
469714824,03-Nov-45,54,$71007,No,$240833,Yes,M,Bachelors,Manager,61,Private,$14000,Minivan,no,$0,0,0,$0,11,0,Highly Urban; Urban
46606719,06-Sep-61,38,$0,No,$0,Yes,M,z_High School,Student,41,Commercial,$17470,Van,no,$3157,2,5,$0,6,0,z_Highly Rural; Rural
