policy_id,age,cust_age_category,income,parent1,home_value,married,gender,education,occupation,travel_time,car_usage,IDV,car_type,red_car,old_claim,claim_freq,MVR_points,claim_amount,car_age,car_age_category,claim_status,urbanicity
63581743,60,mid-age,"$67349",No,"$0",z_No,M,PhD,Professional,14,Private,"$14230",Minivan,yes,"$4461",2,3,"$0",18,old,0,"Highly Urban; Urban"
132761049,43,mid-age,"$91449",No,"$257252",z_No,M,"z_High School","z_Blue Collar",22,Commercial,"$14940",Minivan,yes,"$0",0,0,"$0",1,New,0,"Highly Urban; Urban"
921317019,48,mid-age,"$52881",No,"$0",z_No,M,Bachelors,Manager,26,Private,"$21970",Van,yes,"$0",0,2,"$0",10,used,0,"Highly Urban; Urban"
727598473,35,young,"$16039",No,"$124191",Yes,z_F,"z_High School",Clerical,5,Private,"$4010",z_SUV,no,"$38690",2,3,"$0",10,used,0,"Highly Urban; Urban"
450221861,51,mid-age,,No,"$306251",Yes,M,"<High School","z_Blue Collar",32,Private,"$15440",Minivan,yes,"$0",0,0,"$0",6,used,0,"Highly Urban; Urban"
743146596,50,mid-age,"$114986",No,"$243925",Yes,z_F,PhD,Doctor,36,Private,"$18000",z_SUV,no,"$19217",2,3,"$0",17,old,0,"Highly Urban; Urban"
871024631,34,young,"$125301",Yes,"$0",z_No,z_F,Bachelors,"z_Blue Collar",46,Commercial,"$17430","Sports Car",no,"$0",0,0,"$2946",7,used,1,"Highly Urban; Urban"
792300541,54,mid-age,"$18755",No,,Yes,z_F,"<High School","z_Blue Collar",33,Private,"$8780",z_SUV,no,"$0",0,0,"$0",1,New,0,"Highly Urban; Urban"
7945239,40,young,"$50815",Yes,"$0",z_No,M,"z_High School",Manager,21,Private,"$18930",Minivan,no,"$3295",1,2,"$6477",1,New,1,"Highly Urban; Urban"
3577610,44,mid-age,"$43486",Yes,"$0",z_No,z_F,"z_High School","z_Blue Collar",30,Commercial,"$5900",z_SUV,no,"$0",0,0,"$0",10,used,0,"z_Highly Rural; Rural"
892208080,37,young,"$107961",No,"$333680",Yes,M,Bachelors,"z_Blue Collar",44,Commercial,"$16970",Van,yes,"$2374",1,10,"$4021",7,used,1,"Highly Urban; Urban"
77382913,34,young,"$62978",No,"$0",z_No,z_F,Bachelors,Clerical,34,Private,"$11200",z_SUV,no,"$0",0,0,"$2501",1,New,1,"Highly Urban; Urban"
856886560,50,mid-age,"$106952",No,"$0",z_No,M,Bachelors,Professional,48,Commercial,"$18510",Van,no,"$0",0,1,"$0",17,old,0,"z_Highly Rural; Rural"
